"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"2644","energy_intake",10,"energy_intake","bmi","energy_expenditure","500_kcal_day","infants_aged_zero","adolescent_girls","energy_requirements","body_mass","smoking_physical_activity","energy_deposition"
"2645","operator_exposure",10,"operator_exposure","worker_exposure","bystander_exposure","estimated_operator_exposure","german_model","re_entry_workers","personal_protective_equipment_ppe","personal_protective_equipment","uk_poem","aoel"
"2646","chicks",10,"chicks","caged","early_weaned","poults","turkey_poults","growing_rabbits","finishing_period","piglets","fed_milk_replacer","flat_deck"
"2647","molecular_mass",4,"molecular_mass","molecular_weight","molar_ratio","molar_mass","","","","","",""
"2648","introduced_into",10,"introduced_into","captive_bird","undetected_infected_bird","which_also_keeps","ndv_infected_bird","sourced_from","bird_introduced_into","holding_station","ac_during_transport","released_undetected_into"
"2649","electrical_stunning",10,"electrical_stunning","head_only","gas_stunning","carbon_dioxide_stunning","consciousness","captive_bolt_stunning","unconsciousness","electrical_stun_killing","gas_mixtures","stun"
"2650","5000_mg_kg",6,"5000_mg_kg","bw","mg_kg_bw","ld50_5000_mg_kg","4000","e46_1973","","","",""
"2651","precision",10,"precision","accuracy","reproducibility","robustness","parameter","ssd_standard_deviation","conditional_prevalence","trueness","errors","error"
"2652","staff",4,"staff","camilla_smeraldi","hearing_experts","staff_member","","","","","",""
"2653","community_reference_laboratory",5,"community_reference_laboratory","appendix_executive_summary","european_union_reference_laboratory","crl","eurl","","","","",""
"2654","spanish",10,"spanish","italian","dutch","greek","french","irish","bulgarian","swedish","australian","finnish"
"2655","bones",10,"bones","brain","bone","muscles","viscera","spinal_cord","tongue","skull","eyes_tonsils","heart"
"2656","carboxylic_acids",10,"carboxylic_acids","alcohols","component_alcohols","omega_oxidations","esters","branched_chain","their_corresponding_carboxylic","acids","corresponding_alcohols","branched_chain_aliphatic_alcohols"
"2657","fennel",10,"fennel","cress","globe_artichokes","beet_leaves","lamb_s_lettuce","purslane","rhubarb","shallots","chervil","jerusalem_artichokes"
"2658","that_regulation_lays",7,"that_regulation_lays","legitimate_interest_or","requesting_an","that_any_party","any_person_seeking","that_regulation_lies","party_requesting_an","","",""
"2659","slow",10,"slow","slower","faster","slowed_down","fast","slowest","extremely","very_rapid","gradually","relatively"
"2660","accessed",6,"accessed","eppo_pqr_eppo_pqr","last_accessed","eppo_pqr_version","september_2014","june_2014","","","",""
"2661","immunity",10,"immunity","immune_response","infectiousness","viraemia","vaccination","immune_status","bcg_vaccination","fvv","seroconversion","revaccination"
"2662","underlying",10,"underlying","uncertainties_surrounding","empirical_evidence","interrelated","epistemic_uncertainty","interpretational","judgments","underlying_mechanisms","robustness","empirical"
"2663","food_chain_contam",10,"food_chain_contam","processing_aids_cef_panel","biological_hazards_biohaz","food1_efsa","biological_hazards_biohaz_2011c","processing_aids_2014","welfare_ahaw","processing_aids_2015","processing_aids_cef","biological_hazards_biohaz_2011a"
"2664","loqs",4,"loqs","loq","dfg_s19","hrgc_ecd","","","","","",""
"2665","single_oral",10,"single_oral","oral_doses","orally","administered","human_volunteers","intravenously","single_intravenous","gavage","intraperitoneal_injection","14c_α_cd"
"2666","pepper",10,"pepper","aubergine","tomato_courgette_zucchini","aubergine_bell_pepper","plum","group_melon_watermelon","cucurbit","tomato_courgette","artichoke","peach"
"2667","age_groups",10,"age_groups","age_classes","all_age_groups","adult_age_groups","different_age_classes","infants_toddlers","age_groups_infants_toddlers","across_surveys","surveys_covering","age_classes_elderly"
"2668","jecfa_specification_jecfa_2001c",10,"jecfa_specification_jecfa_2001c","836","829","846","886","894","917","jecfa_specification_jecfa_2000d","891","898"
"2669","biochem",10,"biochem","291_299","606_612","331_338","223_230","145_151","movila","191_197","505_512","309_317"
"2670","foragers",10,"foragers","forager_bees","nectar","hive_bees","pollen_foragers","hive","forager","foraging","brought_back","worker_bees"
"2671","seasonal",10,"seasonal","seasonality","culicoides_imicola_diptera_ceratopogonidae","population_density","biting_rates","dynamics","virogenesis","culicoides_biting","northwards","prevailing"
"2672","floor",10,"floor","slats","slatted_floor","floors","lying_area","slatted","cast_iron","flooring","lying","slat"
"2673","spiroxamine",10,"spiroxamine","desmedipham","spiroxamine_sum","bifenthrin","diquat","acrinathrin","mesotrione","kresoxim_methyl","tolclofos_methyl","prothioconazole"
"2674","accurate",10,"accurate","more_accurate","careful","vaccine_performance","more_precise","obtain","robustness","diagnostic_performance_characteristics","how_much","accuracy"
"2675","relatively_high",5,"relatively_high","relatively_low","much_lower","much_higher","considerably","","","","",""
"2676","genetics",4,"genetics","physiology","biology","ecology","","","","","",""
"2677","concentrate_ec_granule",10,"concentrate_ec_granule","wettable_powder_wp_emulsifiable","e_gcpf_codes","gr_gcpf_technical_monograph","4th_ed_1999","e_gcpf_technical","other_codes","gifap_technical_monograph","e_gifap_codes","gr_gcpf_codes_gifap"
"2678","capsules",6,"capsules","tablets","chewable_forms","similar_forms_excluding","solid_form_including","chewable_forms_food_supplements","","","",""
"2679","vinclozolin",7,"vinclozolin","3_5_dichloraniniline","5_dichloraninilinemoiety_expressed","moiety_expressed_as","vinclozolin_sum","triadimenol_see_triadimefon_vinclozolin","metabolites_containing","","",""
"2680","fungus",10,"fungus","bacterium","colonises","microsclerotia","xylem_vessels","asexual","mycelium","verticillium","pycnidia","saprophytic"
"2681","biological_control",10,"biological_control","acacia_longifolia","biocontrol","agents_bcas","leafminer","grape_phylloxera","pea_leafminer","phylloxera","liriomyza_huidobrensis_diptera_agromyzidae","invasive_alien_plant"
"2682","at_room_temperature",10,"at_room_temperature","long_term_storage","hotfill","without_hot_fill","or_without_hotfill","foodstuffs_except_packaged","hot_fill","soft_drinks_juices","storage_at_room","recycled_articles_used"
"2683","bmdl10",10,"bmdl10","bmdl","bmdl05","bmdl10_values","bmd10","lowest_bmdl10","extra_risk","loael","benchmark_dose","bmr"
"2684","integration",5,"integration","human_microbiome","dynamic_aops","foreign_dna_during","ngs","","","","",""
"2685","susceptible_species",10,"susceptible_species","vector_species","vectors","exotic","hosts","susceptible","potential_vector_species","host_species","through_importation","insect_vectors"
"2686","annals",10,"annals","journal","canadian_journal","pediatrics","203_215","indian_journal","117_122","405_412","american_journal","cardiology"
"2687","well_known",7,"well_known","severe_interactions_between","highly","not_fully_understood","phenomenon","neuromuscular_blocking","doubtful_whether","","",""
"2688","paragraph",4,"paragraph","first_paragraph","last_sentence","sentence","","","","","",""
"2689","bluetongue",10,"bluetongue","epidemiology","schmallenberg_virus","african_swine_fever","rift_valley_fever","classical_swine_fever","bluetongue_virus","serological_survey","russian_federation","bt"
"2690","b3_intake_below_threshold",10,"b3_intake_below_threshold","b4_adequate_noael_exists","b4_no","noael_exists_class_ii","adequate_noael_class_ii","below_threshold_b4_adequate","noael_exists_class_iii","class_ii_b3_intake","adequate_noael_class_iii","noael_exists_class_i"
"2691","molecular_formula",10,"molecular_formula","c11h12n2o2","c5h11no2","c22h38o7","chemical_formula","molecular_weight","2ca","cas_registry_number","c5h11no2s","structural_formula"
"2692","egg_production",10,"egg_production","hatchability","egg_shell_quality","weight_gain","laying_performance","egg_quality","growth_rate","shell_quality","feed_conversion_ratio","chicks"
"2693","safety_authority_2015",10,"safety_authority_2015","safety_authority_2014","safety_authority_2013","safety_authority_2012b","safety_authority_2011a","safety_authority_2011b","safety_authority_2011c","safety_authority_2010b","safety_authority_2008c","safety_authority_2012c"
"2694","terrestrial_vertebrates",5,"terrestrial_vertebrates","terrestrial_organisms","wild_non_target","vertebrates_risk","aquatic_organisms_groundwater","","","","",""
"2695","dynamics",10,"dynamics","factors_influencing","culicoides_imicola_diptera_ceratopogonidae","genetic_structure","population_dynamics","spatiotemporal","seasonal","feeding_preferences","spatial","abundance"
"2696","conventional_counterpart",10,"conventional_counterpart","its_conventional_counterpart","non_gm","fm_958","negative_segregant","reference_varieties","non_gm_cotton","its_conventional","dm1718","its_comparator"
"2697","vine",10,"vine","grapevine","small_omnivore_mouse","orchards","strawberry","orchard","grapevines","ornamentals","flower_bulbs","vineyards"
"2698","prohibition",10,"prohibition","pyrus_pollen","fragaria_plants","citrus_fruit_commercial_trade","passenger_traffic","carnation_mother_plants","other_rutaceous_plants","through_passenger_traffic","armv_rprsv_slrsv","s_chrysanthemi_into"
"2699","mutagenic_activity",10,"mutagenic_activity","mutagenic_potential","mutagenicity","clastogenicity","genotoxic_activity","mutagenic","aneugenicity","chromosome_damage","mouse_lymphoma_tk_assay","gene_mutations"
"2700","zearalenone",10,"zearalenone","deoxynivalenol","nivalenol","aflatoxin_b1","fumonisins","sterigmatocystin","ochratoxin","fumonisin","don","diacetoxyscirpenol"
"2701","boars",10,"boars","sows","boar","teaser","individual_feeding_stalls","concrete_slatted_floors","pregnant_sows","gilts","aggression_during_mixing","calves"
"2702","similarity",10,"similarity","similarities","sequences","similarity_searches","amino_acid_sequence_similarity","known_allergens","homology","amino_acid_sequence","sequence_identity","three_dimensional_structure"
"2703","r3_stream",10,"r3_stream","r1_pond","r2_stream","r1_stream","r4_stream","d6_ditch","d5_stream","d3_ditch","d4_stream","d5_pond"
"2704","broad",6,"broad","broader","choices","broadly","discipline","very_broad","","","",""
"2705","improving",8,"improving","management","integrated","procedures","improve","strategies","protecting_public_health","fmd_vaccines","",""
"2706","triflumuron",10,"triflumuron","difenoconazole","tebufenozide","penconazole","tebuconazole","pyraclostrobin","isopyrazam","tebufenpyrad","mandipropamid","ethephon"
"2707","existence",10,"existence","taxonomic_status","uncertainty_exists","dissemination","genetic_variability","cryptic_species","resistance_breaking","potentiality","pathogen","wide_distribution"
"2708","fitted",10,"fitted","fitting","regression","bayesian_inference","generalised_linear","weibull_distribution","computed","aicc","compute","log_normal_distribution"
"2709","taxonomy",5,"taxonomy","virus_taxonomy","virus_taxonomy_ninth_report","international_committee","host_range","","","","",""
"2710","tebufenozide",10,"tebufenozide","pendimethalin","tau_fluvalinate","chlorantraniliprole","difenoconazole","penconazole","triflumuron","pyraclostrobin","bupirimate","mepanipyrim"
"2711","e_faecium",10,"e_faecium","e_faecalis","enterococcus_faecium","figure_en6","c_jejuni","sulfamethoxazole","c_coli","erythromycin_gentamicin","tetracycline","antimicrobials_ciprofloxacin"
"2712","solvent",10,"solvent","acetone","aqueous","diethyl_ether","diluted","organic_solvent","hexane","solvents","methanol","acetonitrile"
"2713","enumeration",4,"enumeration","betaglucuronidase_positive_escherichia_coli","enumeration_method","horizontal_method","","","","","",""
"2714","piacenza",10,"piacenza","sevilla","kremsmünster","okehampton","thiva","jokioinen","porto","hamburg","châteaudun","kremsmunster"
"2715","transparency",4,"transparency","terminology","plh_era","cross_cutting_guidance_documents","","","","","",""
"2716","flutriafol",10,"flutriafol","oxadixyl","thiacloprid","iprodione","methoxyfenozide","teflubenzuron","propargite","fenbutatin_oxide","azoxystrobin","fludioxonil"
"2717","static",9,"static","semi_static","flowthrough","spiked_sediment","flow_through","water_spiked","chironomus_riparius","chironomus","static_renewal",""
"2718","sampling_unit",6,"sampling_unit","sampling_unit_herd_holding","flock_herd_holding","holding_slaughter_batch","slaughter_batch","sarcocystis_spp","","","",""
"2719","quantification_loq",6,"quantification_loq","detection_lod","quantification","sign_indicates_below","detection_lod_limit","105_cfu_kg","","","",""
"2720","tebufenpyrad",10,"tebufenpyrad","mepanipyrim","pendimethalin","chlorantraniliprole","difenoconazole","pyraclostrobin","bupirimate","acetamiprid","prothioconazole","pyridaben"
"2721","host_species",10,"host_species","hosts","vectors","alternative_hosts","vector_species","or_near_relatives","alternate_hosts","natural_hosts","s_titanus","susceptible_species"
"2722","body_weight_per_day",10,"body_weight_per_day","an_absorption_efficiency","µmol_g_creatinine","cobalamin_intakes","endogenous_faecal_calcium","µg_dfe_day","sda_rich_soybean_oil","ui_excretion","iom_2000b","exclusively_breastfed_infant"
"2723","flusilazole",10,"flusilazole","f7321_bis_4fluorophenyl_methyl","flusilazole_sum","silanol_expressed_as","farm_animals_edible_offal","1030000_birds_eggs","1017050_other","1020040_horse_milk","f7321_bis","1020030_goat_milk"
"2724","cytotoxic",10,"cytotoxic","cytotoxicity","dna_damage","highly_cytotoxic","without_s9_activation","v79_chinese_hamster_cells","dna_breakage","3330_μg_plate","structural_chromosome_aberrations","dna_breaks"
"2725","performing",10,"performing","conducting","validating","scientifically_robust","carrying_out","software_tools","tailor_made","undertaking","regulatory_purposes","designing"
"2726","dichlorprop_p",10,"dichlorprop_p","metrafenone","clopyralid","dimoxystrobin","pyrimethanil","cyprodinil","metconazole","ethoprophos","dimethomorph","dimethenamid"
"2727","significantly_lower",10,"significantly_lower","significantly_higher","significantly_increased","significantly_decreased","significantly_reduced","achieving_statistical_significance","significantly_higher_than","statistically_significantly_lower","increased_significantly","alt_activity"
"2728","suggesting",10,"suggesting","suggesting_that","liver_fibrosis","inducing","pronounced","increases","choroid_plexus","induces","caused","showing"
"2729","dicamba",10,"dicamba","mcpa","picoxystrobin","imazapyr","diquat","mandipropamid","tolfenpyrad","m_510f01_including","isopyrazam","glufosinate"
"2730","lactone",10,"lactone","octano","4lactone","nonano","undecano","dodecano","lactone_decano","lactone_nonano","lactone_dodecano","lactone_pentano"
"2731","was_initiated",5,"was_initiated","by_dispatching","2012_by_dispatching","2013_by_dispatching","2008_by_dispatching","","","","",""
"2732","pyrene",10,"pyrene","benzo","anthracene","chrysene","benzo_b_fluoranthene","pah2","benzo_k_fluoranthene","anthracene_benzo_b_fluoranthene","dibenz","pyrene_chrysene"
"2733","taurine",10,"taurine","d_glucurono_γ_lactone","inositol","periconceptional","vitamin_b12","5mthfglucosamine","beta_carotene","choline","vitamin_c","tryptophan"
"2734","y_enterocolitica",10,"y_enterocolitica","yersinia_enterocolitica","l_monocytogenes","c_perfringens","vtec","vtec_l_monocytogenes","campylobacter_spp","listeria","c_botulinum","campylobacter_norovirus_cryptosporidium"
"2735","expert_opinion",4,"expert_opinion","prior_expert","adjusted_estimate","systematic_literature_review","","","","","",""
"2736","exhibited",10,"exhibited","renal_tubule","reduced_caudal_ossification","adrenal_weight","neutrophil_counts","upon_microscopic_examination","slight","periportal","abnormal_sperm","epididymis"
"2737","host_plant",10,"host_plant","host_plants","x_fastidiosa","c_parasitica","host_range","v_dahliae","xylella_fastidiosa","s_dorsalis","insect_vectors","dickeya_spp"
"2738","carp",10,"carp","eel","common_carp","broodstock","freshwater","freshwater_fish","fishes","eels","rainbow_trout","trout"
"2739","cow_s",4,"cow_s","goat_milk","cow_milk","cows_milk","","","","","",""
"2740","turn",6,"turn","large_vacuoles_pitting","functionally_homologous","eventually_lead","eventually","resulting","","","",""
"2741","study_relied_upon",10,"study_relied_upon","rat_acute_neurotoxicity","yr_mouse","yr_rat","rabbit_developmental_supported_by","yr_dog","2generation_reproduction_study","rabbit_developmental_rabbit_developmental","year_dog","rat_multigeneration"
"2742","very_unlikely",10,"very_unlikely","unlikely_very_unlikely","very_likely","viable_hybrids","moderately_likely","alsv","rprsv_slrsv","rated_unlikely","carnation_pot_plants","through_human_assisted"
"2743","inoculum",10,"inoculum","wounding","satsuma_mandarin_fruit","host_plant_debris","dickeya_spp","ascospores","primary_inoculum","microsclerotia","spore_dispersal","xac"
"2744","liver_kidney",10,"liver_kidney","kidney","kidney_liver","muscle","liver","heart_brain","kidneys","liver_kidneys","muscle_tissue","heart_kidney"
"2745","time_points",4,"time_points","sampling_times","24_hours_after_dosing","time_intervals","","","","","",""
"2746","comparative_analysis",10,"comparative_analysis","phenotypic_characteristics","agronomic_phenotypic","compositional_analysis","molecular_characterisation","compositional_characteristics","agronomic_phenotypic_characteristics","agronomic_characteristics","comparative_compositional_analysis","compositional_data"
"2747","other_soil_macro",10,"other_soil_macro","soil_micro_organisms","annex_iia_points","other_soil_macroorganisms","nitrogen_mineralisation","collembola","soil_microorganisms","non_target_plants","earthworms","non_target_soil_micro"
"2748","transportation",10,"transportation","transport","during_transport","equipment_cages_instruments","lairage","line_speed","dirt","thorough_cleaning","carcasses","catching"
"2749","degt50",10,"degt50","kom","freundlich_exponent","arithmetic_mean_kom","geomean","dt_50","arithmetic_mean","geometric_mean_dt50","geomean_dt50","bias_corrected_geometric_mean"
"2750","peach",10,"peach","plum","cherry","pear","grape","pepper","olive","lemon","banana","nectarine"
"2751","geomean",10,"geomean","dt_50","geometric_mean","sfo_dt50","geometric_mean_dt50","normalised_field","sfo_kinetics","geomean_dt50","normalised","sfo_kinetics_dt50"
"2752","sevilla",10,"sevilla","piacenza","porto","okehampton","kremsmünster","jokioinen","thiva","hamburg","kremsmunster","châteaudun"
"2753","operation",10,"operation","operations","payload","facilities","web_services","execute","taking_care","datasetid","whilst_maintaining","lay_out_design"
"2754","bulletin",10,"bulletin","journal","faculty","sciences","society","archives","agriculture_shizuoka","university","agricultural_research","agricultural_sciences"
"2755","tend",10,"tend","seem","tends","appear","more_likely","seems","seemed","may_lead","will_tend","seemingly"
"2756","off_field",10,"off_field","off_field_areas","nta","infield","off_field_area","off_crop","ntas","t_pyri","non_target_arthropods","offfield"
"2757","features",10,"features","pain_perception","determinants","breeding_organisations","interrelated","genetic","causal_factors","cues","dynamic","plasticity"
"2758","brucella",10,"brucella","m_bovis","b_melitensis","brucella_spp","cysticercus","cases1","trichinella","classical_rabies_virus","echinococcus_spp","table_eh4"
"2759","diflufenican",10,"diflufenican","imazosulfuron","foramsulfuron","picoxystrobin","imazamox","propoxycarbazone","oxadiargyl","oxasulfuron","pethoxamid","prosulfocarb"
"2760","poppy_seed",10,"poppy_seed","mustard_seed","chicory_roots","rape_seed_linseed","turnips","linseed_poppy_seed","cherries_plums","purslane_beans","shallots","jerusalem_artichokes"
"2761","aldehydes",10,"aldehydes","ketones","alcohols","carboxylic_acids","candidate_alcohols","lactones","esters","222_α_ßunsaturated","secondary_alcohols","acids"
"2762","d_magna",10,"d_magna","o_mykiss","p_subcapitata","c_riparius","daphnia","chironomus_riparius","chironomus","lemna_gibba","sediment_dwelling","daphnia_magna"
"2763","ph_dependence_yes",5,"ph_dependence_yes","arithmetic_mean_ph_dependence","oc_dependence_yes","arithmetic_mean_median","kd_ph_dependence_yes","","","","",""
"2764","hamburg",10,"hamburg","jokioinen","kremsmünster","piacenza","okehampton","sevilla","porto","kremsmunster","châteaudun","thiva"
"2765","nicotinamide",8,"nicotinamide","nicotinic_acid","betaine","nicotinic_acid_mononucleotide","n_methylnicotinamide","predominant_circulating","cholecalciferol","nicotinic_acid_analogue","",""
"2766","hair",10,"hair","toenails","soft_tissues","skeleton","fetal_blood","bone","femur","during_late_pregnancy","calcified_tissues","amniotic_fluid"
"2767","physical_chemical",5,"physical_chemical","technical_properties","sufficient_analytical_methods","relating","quality_control_measurements","","","","",""
"2768","salmonellosis",10,"salmonellosis","campylobacteriosis","listeriosis","human_cases","vtec_infections","yersiniosis","trichinellosis","west_nile_fever","q_fever","non_typhoidal_salmonellosis"
"2769","from_oxidative_damage",10,"from_oxidative_damage","dna_proteins","id_4042","id_3427","id_1286_4245","160_162_1947","id_1099_3152","143_148_antioxidant","id_410_1292","id_612_1658"
"2770","sanco_825_00",6,"sanco_825_00","sanco_10597_2003","sanco_10054_2013","sanco_222_2000","2000_sanco_10597","99_rev_4","","","",""
"2771","horse_meat",10,"horse_meat","goat_meat","sheep_liver","cattle_bovine","bovine_kidney_bovine_meat","bovine_meat","birds_eggs","goats_fresh_chilled","goat_meat_goat","bovine_kidney_goat_meat"
"2772","closed",10,"closed","ventilated","room","open","insulated","container","pumped","gondola","conveyor","wooden"
"2773","reduced_body_weight",10,"reduced_body_weight","decreased_body_weight","decreased_body_weight_gain","maternal_body_weight","bw_gain","reduced_bodyweight_gain","decreased_bodyweight","parental_toxicity","liver_weight","maternal_toxicity"
"2774","water_sediment_system",10,"water_sediment_system","days_default_dt50","1000_default_dt50","focus_sfo_dt50","dt50_sediment_d","whole_system","dt50_water_sediment","focus_default_value","focus_default_dt50","1000_dt50_sediment"
"2775","level_aoel",6,"level_aoel","acceptable_operator_exposure","acute_reference","acceptable_daily_intake","adi_acceptable_operator","arfd","","","",""
"2776","apparently",10,"apparently","suggesting_that","moreover","similarly","fat_androstenone_levels","unlike","presumably","hi_serum_antibody","indeed","m_mackini"
"2777","immediate",10,"immediate","resumption","brain_responsiveness","pupillary_dilatation","bleeding_out","brain_death","bleeding","collapse","cardiac_ventricular_fibrillation","failure"
"2778","protective",9,"protective","long_lasting_course","perhaps","aggravate","soti","long_lasting","deleterious","milder_cases","counterproductive",""
"2779","pfos",5,"pfos","pfoa","phthalate_metabolites","perfluorinated_compounds","inorganic_mercury","","","","",""
"2780","oecd_organisation",4,"oecd_organisation","oecd_organization","economic_co_operation","organisation","","","","","",""
"2781","day_old",10,"day_old","per_treatment","eight_pens_per","individually_caged","day_old_male","individually_housed","were_randomly_allocated","unsexed","per_pen","fattening_ross"
"2782","england",5,"england","wales","scotland","hong_kong","northern_ireland","","","","",""
"2783","1997a",5,"1997a","1997b","1997c","1997e","1997d","","","","",""
"2784","fenamiphos",10,"fenamiphos","phosalone","pyrimethanil","methomyl","thiodicarb","metconazole","haloxyfop_r","phosmet","ethoprophos","clopyralid"
"2785","cost",10,"cost","costs","investments","engagement","success","automation","compromise_between","compromises","consumer_surplus","stringency"
"2786","hill",10,"hill","johnson","ward","jones","martin","miller","mcgrath","collins","saeed","williams"
"2787","readily",10,"readily","easily","efficiently","rapidly","completely","less_efficiently","scavenge","portal_circulation","more_easily","preferentially"
"2788","food_borne",10,"food_borne","foodborne","campylobacter_spp_salmonella_spp","attribution","campylobacteriosis","human_infections","listeria","shigatoxin_producing_e_coli","sporadic_cases","gastroenteritis"
"2789","freshwater",10,"freshwater","marine","carp","benthic","ponds","pelagic","terrestrial","fishes","estuarine","sediments"
"2790","tolclofos_methyl",10,"tolclofos_methyl","desmedipham","prothioconazole","pethoxamid","bifenthrin","phenmedipham","propiconazole","oryzalin","teflubenzuron","pirimiphos_methyl"
"2791","bioassay",8,"bioassay","pmca","transgenic_mice","riii_mice","bioassays","transgenic_mouse","endpoint_titration","prpsc","",""
"2792","beta_carotene",10,"beta_carotene","carotene","vitamin_e","carotenoids","thiamine_riboflavin","β_carotene","tocopherol","25_dihydroxycholecalciferol","retinol","canthaxanthin_astaxanthin"
"2793","preparing_eu_position",10,"preparing_eu_position","2014_ccpr","scientific_support","2012_ccpr","2012_ccpr_commodity","2012_ccpr_acute","2013_ccpr_commodity","2013_ccpr","2015_ccpr","2014_ccpr_commodity_group"
"2794","abattoir",10,"abattoir","slaughterhouse","slaughterhouses","abattoirs","slaughter","slaughtering","lairage_conditions","slaughter_line","post_mortem_inspection","slaughterline"
"2795","prosulfocarb",10,"prosulfocarb","picoxystrobin","butralin","clomazone","diflufenican","fenamidone","prothioconazole","flubendiamide","bixafen","proquinazid"
"2796","correlation_between",7,"correlation_between","relationship_between","relationship","correlation","association_between","apparent","correlations_between","","",""
"2797","clomazone",10,"clomazone","prosulfocarb","flufenoxuron_fluopicolide","various_oilseeds","trifloxystrobin","picoxystrobin","flubendiamide","indoxacarb_ioxynil","code_number_233030_233990","chlorantraniliprole"
"2798","folic_acid",10,"folic_acid","supplements","magnesium","choline","pyridoxine","urinary_losses","vitamin_e","selenium","vitamin_c","folate"
"2799","justify",7,"justify","clarify","might_want","guesses","clarify_how","verify_whether","prove","","",""
"2800","sugar_beets",10,"sugar_beets","sugar_beet","pulses_oilseeds_soya_bean","leafy_vegetables","oilseed_rapes","grapes_tomatoes","cabbage","sunflower","cabbages","arable_field_crops"
"2801","proquinazid",10,"proquinazid","fluopicolide","cyflufenamid","mepanipyrim","chlorantraniliprole","isopyrazam","flonicamid","dodine","fenamidone","difenoconazole"
"2802","fosetyl",7,"fosetyl","phosphonic_acid","fosetyl_phosphonic_acid","their_salts_expressed","fosetyl_phosphorous_acid","1011010","0120010","","",""
"2803","frequent",10,"frequent","often","direct_contacts","can_cause_severe","localised_infections","severe","move_freely","escape_behaviours","nervous_signs","stressful_events_such"
"2804","genistein",10,"genistein","daidzein","puerarin","equol","formononetin","genistin","daidzin","isoflavones_genistein","biochanin","s_equol"
"2805","inflammation",10,"inflammation","fibrosis","focal_necrosis","lung","hypertrophy","degeneration","necrosis","dilatation","hyperplasia","congestion"
"2806","annex_iiia",4,"annex_iiia","annexes_iiia","iiib","annexe_iiia","","","","","",""
"2807","lymphocytes",10,"lymphocytes","micronuclei","cultures_pooled","bone_marrow_cells","peripheral_blood","dna_strand_breaks","cultured_human_lymphocytes","structural_chromosomal_aberrations","human_fibroblasts","cultured_human_peripheral_blood"
"2808","visual",8,"visual","finger_tapping","dilated_pupils","somatosensory","auditory","physical_reflexes","spontaneous_physical_activity","coat_cleanliness","",""
"2809","eu_en_efsajournal_pub",10,"eu_en_efsajournal_pub","eu_en_efsajournal_doc","eu_en_scdocs_scdoc","efsajournal_pub","eu_efsa_efsa_locale","1364_pdf","1208_pdf","data_call_130327","eu_en","1457_htm"
"2810","atypical_scrapie",10,"atypical_scrapie","scrapie","classical_scrapie","atypical_cases","nor98","vcjd","bse","scjd","tse","prp_genotype"
"2811","it_appears",4,"it_appears","indeed","scientific_committee_recognises","it_seems","","","","","",""
"2812","half_lives",10,"half_lives","half_life","dt50","geometric_mean","first_order_dt50","pseudo_first_order","first_order_kinetics","free_fenitrothion","whole_system","first_order"
"2813","impaired",10,"impaired","appetite","depression","anaemia","impairment","salivation","growth_retardation","ataxia","disturbances","tremors"
"2814","prohibited",10,"prohibited","banned","whose_spread_within","certain_protected_zones","union","harmful_organisms_whose_introduction","spread_within","banned_if_they","moved_within","banned_if"
"2815","aims",10,"aims","inform","enable","assist","validate","aim","strengthen","guide","defining","harmonise"
"2816","produces",6,"produces","induces","prevents","becomes","passes_through","causes","","","",""
"2817","incubation_period",10,"incubation_period","viraemia","attack_rate","incubation_periods","iatrogenic_cjd","virus_shedding","clinical_onset","infectivity","bt_epidemic","infectious_dose"
"2818","host_range",10,"host_range","pnrsv","tylcv","fdp","clrv","ctv","regulated_hosts","insect_vector","begomoviruses","s_titanus"
"2819","foraging",10,"foraging","hive","hive_bees","honey_stores","brood","forager","pollen_foragers","drones","flower_patch","foraging_trip"
"2820","flakes",10,"flakes","under_vacuum_step","extruder","pre_heated","extruded_into_pellets","crystallised","reactor_step","before_being_extruded","preheated","extruded_under_vacuum"
"2821","vtec_o157",10,"vtec_o157","vtec","non_o157","o26_o91_o103","o157","o157_h7","nono157","non_o157_vtec","o26_o103_o111","most_important_reservoir"
"2822","argentina",10,"argentina","brazil","chile","uruguay","colombia","australia","mexico","south_america","bolivia","peru"
"2823","flonicamid",10,"flonicamid","proquinazid","cyflufenamid","boscalid","tepraloxydim","fluazinam","chlorantraniliprole","diquat","mepanipyrim","phenmedipham"
"2824","comet_assay",10,"comet_assay","vivo_micronucleus","micronucleus_assay","alkaline_comet_assay","comet_assays","single_cell_gel","bone_marrow_erythrocytes","v79_cells","potential_aneugenic_effects","dna_damage"
"2825","mtamdi_approach",5,"mtamdi_approach","modified_theoretical_added","mtamdi_values","mtamdi","maximum_daily_intake","","","","",""
"2826","samples_analysed_at_ofmls",10,"samples_analysed_at_ofmls","cmcl","dcmnr_is_usually_25g","usually_25g","usually_25g_br","ofm","official_sampling_surveillance_official","sample_weight","control_official_sampling","blank_surveillance_official"
"2827","r4_stream",10,"r4_stream","r3_stream","d6_ditch","r1_pond","r2_stream","r1_stream","d5_stream","d3_ditch","d5_pond","d4_stream"
"2828","mastitis",10,"mastitis","metritis","lameness","respiratory_disease","foot_rot","abortion","locomotion_score","respiratory_disorders","foot_lesions","somatic_cell_counts"
"2829","bystander_exposure",10,"bystander_exposure","worker_exposure","operator_exposure","bystander","bystanders","personal_protective_equipment_ppe","personal_protective_equipment","re_entry_workers","estimated_operator_worker","ppe"
